PMID ,PERSONS
PMID , 
19542150," Alessandro Riccombeni , "
19578038, 
19561017, 
20202973," Marc E. Lippman , "
20185403, 
20223837," Takeshi Nagashima , Yuko Saeki , Koichi Takahashi , Kazuyuki Nakamura , "
20172944," James Truman , Julie Simpson , Zongcai Ruan , Wayne Perenau , Fuhui Long , Myers , Hanchuan Peng , Margaret Jefferies , "
20185405," Curtis Huttenhower , Olga Troyanskaya , Tao Yue , Jimin Song , David Botstein , "
20200009," Eric Neumann , Courtot , Frank Gibson , Alan Rector , "
20185404," Pierre Vincens , "
20194625," J.M. Hancock , A.M. Mallon , H. Yokoyama , S. Nishimura , T. Takatsuki , "
20231229, 
20147307," James Johnson , M.B. , "
20147303," William H. Majoros , Todd Wasson , Melinda Gates Foundation , Dr Barton F. Haynes , "
20147302," Colin Watanabe , Sekar Seshagiri , Ernie Retzel , Irina Khrebtukova , Gary Schroth , "
20150411, 
20179075, 
20338898," Mike Smith , "
20200010, 
20172945, 
20554689, 
20538725, 
20562414, 
20591904," Peter Pfaffelhuber , Cornelia Borck , Ines Hellmann , Pleuni Pennings , Pavlos Pavlidis , Jayne Ewing , "
20562413, 
20519285," Leonardo Mari , Joshua S. Weitz , Alfred P. Sloan Foundation , P.J. , J.H. , P.J. , "
20639544, 
20576622, 
20427515, 
20562417," Ryan Lister , Joe Ecker , George Marnellos , "
20605929," Carsten Kemena , Ionas Erb , Chang Jia Ming , Jean-Fran , Taly , C.N. , C.K. , "
20562418, 
20971987," Nico Adams , George Gkoutos , "
20971988," Lars Jermiin , D.H. , Max Planck Gesellschaft , "
20956244, 
20959382, 
20956241, 
21123224," Gabor Csardi , Tamas Nepusz , Samad Lotia , Josh Bucker , "
21088028," Jing Gao , Allan Kuchinsky , Josh Bucker , "
20926420," Dr Guo-Liang Wang , Brian Scheffler , LaGrue , Francis , Tequing , Koshihikari , Masahiro Yano , Pam Ronalds , "
20966005," S. Pamp , P. Blainey , Thomas C. , Joan M. Merigan Endowment , "
20947524," Jie Li , Wengang Zhou , Narasimha Rao , Jennifer L. Reed , "
20053841, 
20015947, 
20022975," Ali Mortazavi , Mortazavi , J.T. , "
20031970," Michelle D. Brazas , Guanming Wu , Li Zhang , Joseph Yamada , "
20053839, 
20022973," Thomas Keane , Jim Stalker , Ian Sudbery , "
20015948," J. Blom , D. Wibberg , S. Jaenicke , S. Schneiker-Bekel , A. Tauch , E. Trost , "
20130027, 
20007742," Chen , Mr Chia-Chang Wang , "
